run_display,detector_display,target_display,episodes,success_rate,no_detection_rate,wrong_detection_rate,iou_hit_010,iou_hit_025,success_ci_low,success_ci_high,no_detection_ci_low,no_detection_ci_high,wrong_detection_ci_low,wrong_detection_ci_high
Bridge v2,GroundingDINO,Box-center depth,1350,0.30074074074074075,0.0,0.6377777777777778,0.34814814814814815,0.08814814814814814,0.27185185185185184,0.3362962962962964,0.0,0.0,0.5948148148148148,0.6733333333333336
Bridge v2,GroundingDINO,Crop-median depth,1350,0.3148148148148148,0.0,0.6503703703703704,0.34814814814814815,0.08814814814814814,0.29111111111111115,0.34740740740740744,0.0,0.0,0.6066481481481483,0.6859259259259259
Bridge v2,GroundingDINO,Crop-trimmed median,1350,0.3148148148148148,0.0,0.6503703703703704,0.34814814814814815,0.08814814814814814,0.29111111111111115,0.34740740740740744,0.0,0.0,0.6066481481481483,0.6859259259259259
Bridge v2,First detection,Box-center depth,1350,0.3688888888888889,0.0,0.4088888888888889,0.0,0.0,0.3496111111111111,0.3866666666666667,0.0,0.0,0.4022222222222223,0.41777777777777786
Bridge v2,First detection,Crop-median depth,1350,0.5170370370370371,0.0,0.3933333333333333,0.0,0.0,0.4777592592592592,0.554074074074074,0.0,0.0,0.3711111111111112,0.41777777777777786
Bridge v2,First detection,Crop-trimmed median,1350,0.5170370370370371,0.0,0.3933333333333333,0.0,0.0,0.4777592592592592,0.554074074074074,0.0,0.0,0.3711111111111112,0.41777777777777786
Bridge v2,Metadata query-aware,Box-center depth,1350,0.6177777777777778,0.0,0.13333333333333333,0.0,0.0,0.582962962962963,0.6474074074074075,0.0,0.0,0.13333333333333333,0.13333333333333333
Bridge v2,Metadata query-aware,Crop-median depth,1350,0.7125925925925926,0.0,0.10444444444444445,0.0,0.0,0.6451851851851853,0.774814814814815,0.0,0.0,0.09333333333333334,0.11555555555555558
Bridge v2,Metadata query-aware,Crop-trimmed median,1350,0.7125925925925926,0.0,0.10444444444444445,0.0,0.0,0.6451851851851853,0.774814814814815,0.0,0.0,0.09333333333333334,0.11555555555555558
YCB/clutter held-out,GroundingDINO,Box-center depth,1800,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
YCB/clutter held-out,GroundingDINO,Crop-median depth,1800,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
YCB/clutter held-out,GroundingDINO,Crop-trimmed median,1800,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
YCB/clutter held-out,First detection,Box-center depth,1800,0.36277777777777775,0.0,0.41,0.0,0.0,0.3461111111111111,0.3777777777777778,0.0,0.0,0.4033333333333332,0.4183333333333332
YCB/clutter held-out,First detection,Crop-median depth,1800,0.4722222222222222,0.0,0.42333333333333334,0.0,0.0,0.43944444444444447,0.5066666666666666,0.0,0.0,0.40499999999999997,0.44
YCB/clutter held-out,First detection,Crop-trimmed median,1800,0.4722222222222222,0.0,0.42333333333333334,0.0,0.0,0.43944444444444447,0.5066666666666666,0.0,0.0,0.40499999999999997,0.44
YCB/clutter held-out,Metadata query-aware,Box-center depth,1800,0.7427777777777778,0.0,0.0,0.0,0.0,0.7105555555555554,0.7716666666666666,0.0,0.0,0.0,0.0
YCB/clutter held-out,Metadata query-aware,Crop-median depth,1800,0.7705555555555555,0.0,0.0,0.0,0.0,0.7144444444444445,0.8272222222222222,0.0,0.0,0.0,0.0
YCB/clutter held-out,Metadata query-aware,Crop-trimmed median,1800,0.7705555555555555,0.0,0.0,0.0,0.0,0.7144444444444445,0.8272222222222222,0.0,0.0,0.0,0.0
