object_name,detector,target_source,episodes,success_rate,success_ci_low,success_ci_high,no_detection_rate,wrong_detection_rate,depth_failure_rate,median_target_error_l2,mean_bbox_iou
banana,first_gt_box,box_center_depth,3141,0.1060171919770773,0.0958213944603629,0.1174785100286533,0.0,0.8844317096466093,0.0095510983763132,0.1998753706570013,0.0133776148896615
banana,first_gt_box,crop_median_depth,3141,0.2043935052531041,0.1906956383317414,0.2190385227634511,0.0,0.7956064947468959,0.0,0.192766500087625,0.0133776148896615
banana,first_gt_box,crop_trimmed_median_depth,3141,0.2094874243871378,0.1945240369309137,0.2244587710920089,0.0,0.7905125756128621,0.0,0.1933210926851197,0.0133776148896615
banana,grounding_dino,box_center_depth,9423,0.6857688634192932,0.6816300541228908,0.6896980791679931,0.0,0.3017085853762071,0.0110368247904064,0.0288959882939728,0.6154347152405457
banana,grounding_dino,crop_median_depth,9423,0.6389684813753582,0.6292024832855779,0.648095086490502,0.0,0.2657327814920938,0.0,0.0619903874957374,0.6154347152405457
banana,grounding_dino,crop_trimmed_median_depth,9423,0.6356786586012947,0.6262310304573915,0.645229756977608,0.0,0.2660511514379709,0.0,0.061376545538541,0.6154347152405457
banana,oracle_2d_box,box_center_depth,3141,0.9398280802292264,0.9312320916905444,0.9484240687679084,0.0,0.0,0.0588984399872652,0.0208510548174139,1.0
banana,oracle_2d_box,crop_median_depth,3141,0.8382680674944285,0.82489652976759,0.8516475644699141,0.0,0.0,0.0,0.0511589026528076,1.0
banana,oracle_2d_box,crop_trimmed_median_depth,3141,0.839859917223814,0.8268067494428526,0.8529130850047756,0.0,0.0,0.0,0.0496768023852217,1.0
banana,oracle_mask,mask_median_depth,3141,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
bleach cleanser,first_gt_box,box_center_depth,7636,0.1781037192247249,0.1694571765322158,0.1868812205343111,0.0,0.7434520691461498,0.0060240963855421,0.1683407033322028,0.1637083792900741
bleach cleanser,first_gt_box,crop_median_depth,7636,0.1251964379256155,0.1178627553693033,0.1324024358302776,0.0,0.7434520691461498,0.0,0.1763595789415432,0.1637083792900741
bleach cleanser,first_gt_box,crop_trimmed_median_depth,7636,0.1325301204819277,0.1249345206914614,0.1406495547407019,0.0,0.7421424829753798,0.0,0.1764369474800207,0.1637083792900741
bleach cleanser,grounding_dino,box_center_depth,22908,0.3617950061114021,0.3563809586170769,0.3675135323904313,0.0,0.5703247773703509,0.0632966649205517,0.1367122286135793,0.3476309524741324
bleach cleanser,grounding_dino,crop_median_depth,22908,0.3107647983237297,0.3058298411035445,0.3157423170944648,0.0,0.642657586869216,0.0,0.1792548450642853,0.3476309524741324
