source_file,filename,status,task,baseline,target_source,stressor,level,seed,diagnostic_success,task_success,agreement,success,target_error_l2,failure_type
/data/openMythosBench_project/outputs/closed_loop_oracle_calibration_v2_smoke_20260521/shard_2/PickCube__oracle_target__none_L0__seed8.json,PickCube__oracle_target__none_L0__seed8.json,ok,PickCube,oracle_target,oracle_target,none,0,8,True,True,True,True,0.0,success
/data/openMythosBench_project/outputs/closed_loop_oracle_calibration_v2_smoke_20260521/shard_2/PickSingleYCB__oracle_target__none_L0__seed7.json,PickSingleYCB__oracle_target__none_L0__seed7.json,ok,PickSingleYCB,oracle_target,oracle_target,none,0,7,True,False,False,False,0.0,scripted_task_failed
/data/openMythosBench_project/outputs/closed_loop_oracle_calibration_v2_smoke_20260521/shard_2/PickSingleYCB__oracle_target__none_L0__seed4.json,PickSingleYCB__oracle_target__none_L0__seed4.json,ok,PickSingleYCB,oracle_target,oracle_target,none,0,4,True,False,False,False,0.0,scripted_task_failed
/data/openMythosBench_project/outputs/closed_loop_oracle_calibration_v2_smoke_20260521/shard_2/PickCube__oracle_target__none_L0__seed5.json,PickCube__oracle_target__none_L0__seed5.json,ok,PickCube,oracle_target,oracle_target,none,0,5,True,False,False,False,0.0,scripted_task_failed
/data/openMythosBench_project/outputs/closed_loop_oracle_calibration_v2_smoke_20260521/shard_2/PickSingleYCB__oracle_target__none_L0__seed1.json,PickSingleYCB__oracle_target__none_L0__seed1.json,ok,PickSingleYCB,oracle_target,oracle_target,none,0,1,True,False,False,False,0.0,scripted_task_failed
/data/openMythosBench_project/outputs/closed_loop_oracle_calibration_v2_smoke_20260521/shard_2/PickCube__oracle_target__none_L0__seed2.json,PickCube__oracle_target__none_L0__seed2.json,ok,PickCube,oracle_target,oracle_target,none,0,2,True,False,False,False,0.0,scripted_task_failed
/data/openMythosBench_project/outputs/closed_loop_oracle_calibration_v2_smoke_20260521/shard_1/PickSingleYCB__oracle_target__none_L0__seed3.json,PickSingleYCB__oracle_target__none_L0__seed3.json,ok,PickSingleYCB,oracle_target,oracle_target,none,0,3,True,False,False,False,0.0,scripted_task_failed
/data/openMythosBench_project/outputs/closed_loop_oracle_calibration_v2_smoke_20260521/shard_1/PickSingleYCB__oracle_target__none_L0__seed6.json,PickSingleYCB__oracle_target__none_L0__seed6.json,ok,PickSingleYCB,oracle_target,oracle_target,none,0,6,True,False,False,False,0.0,scripted_task_failed
/data/openMythosBench_project/outputs/closed_loop_oracle_calibration_v2_smoke_20260521/shard_1/PickSingleYCB__oracle_target__none_L0__seed9.json,PickSingleYCB__oracle_target__none_L0__seed9.json,ok,PickSingleYCB,oracle_target,oracle_target,none,0,9,True,False,False,False,0.0,scripted_task_failed
/data/openMythosBench_project/outputs/closed_loop_oracle_calibration_v2_smoke_20260521/shard_1/PickCube__oracle_target__none_L0__seed1.json,PickCube__oracle_target__none_L0__seed1.json,ok,PickCube,oracle_target,oracle_target,none,0,1,True,False,False,False,0.0,scripted_task_failed
/data/openMythosBench_project/outputs/closed_loop_oracle_calibration_v2_smoke_20260521/shard_1/PickCube__oracle_target__none_L0__seed4.json,PickCube__oracle_target__none_L0__seed4.json,ok,PickCube,oracle_target,oracle_target,none,0,4,True,False,False,False,0.0,scripted_task_failed
/data/openMythosBench_project/outputs/closed_loop_oracle_calibration_v2_smoke_20260521/shard_1/PickSingleYCB__oracle_target__none_L0__seed0.json,PickSingleYCB__oracle_target__none_L0__seed0.json,ok,PickSingleYCB,oracle_target,oracle_target,none,0,0,True,False,False,False,0.0,scripted_task_failed
/data/openMythosBench_project/outputs/closed_loop_oracle_calibration_v2_smoke_20260521/shard_1/PickCube__oracle_target__none_L0__seed7.json,PickCube__oracle_target__none_L0__seed7.json,ok,PickCube,oracle_target,oracle_target,none,0,7,True,False,False,False,0.0,scripted_task_failed
/data/openMythosBench_project/outputs/closed_loop_oracle_calibration_v2_smoke_20260521/shard_0/PickCube__oracle_target__none_L0__seed6.json,PickCube__oracle_target__none_L0__seed6.json,ok,PickCube,oracle_target,oracle_target,none,0,6,True,False,False,False,0.0,scripted_task_failed
/data/openMythosBench_project/outputs/closed_loop_oracle_calibration_v2_smoke_20260521/shard_0/PickCube__oracle_target__none_L0__seed3.json,PickCube__oracle_target__none_L0__seed3.json,ok,PickCube,oracle_target,oracle_target,none,0,3,True,False,False,False,0.0,scripted_task_failed
/data/openMythosBench_project/outputs/closed_loop_oracle_calibration_v2_smoke_20260521/shard_0/PickCube__oracle_target__none_L0__seed9.json,PickCube__oracle_target__none_L0__seed9.json,ok,PickCube,oracle_target,oracle_target,none,0,9,True,False,False,False,0.0,scripted_task_failed
/data/openMythosBench_project/outputs/closed_loop_oracle_calibration_v2_smoke_20260521/shard_0/PickSingleYCB__oracle_target__none_L0__seed5.json,PickSingleYCB__oracle_target__none_L0__seed5.json,ok,PickSingleYCB,oracle_target,oracle_target,none,0,5,True,False,False,False,0.0,scripted_task_failed
/data/openMythosBench_project/outputs/closed_loop_oracle_calibration_v2_smoke_20260521/shard_0/PickSingleYCB__oracle_target__none_L0__seed2.json,PickSingleYCB__oracle_target__none_L0__seed2.json,ok,PickSingleYCB,oracle_target,oracle_target,none,0,2,True,False,False,False,0.0,scripted_task_failed
/data/openMythosBench_project/outputs/closed_loop_oracle_calibration_v2_smoke_20260521/shard_0/PickCube__oracle_target__none_L0__seed0.json,PickCube__oracle_target__none_L0__seed0.json,ok,PickCube,oracle_target,oracle_target,none,0,0,True,False,False,False,0.0,scripted_task_failed
/data/openMythosBench_project/outputs/closed_loop_oracle_calibration_v2_smoke_20260521/shard_0/PickSingleYCB__oracle_target__none_L0__seed8.json,PickSingleYCB__oracle_target__none_L0__seed8.json,ok,PickSingleYCB,oracle_target,oracle_target,none,0,8,True,True,True,True,0.0,success
