run,task,stressor,level,failure_type,episodes,success_rate,mean_target_error_l2,fraction_within_group
HardL3,PickClutterYCB,depth_sparsity,3,success,150,1.0,0.0,1.0
HardL3,PickClutterYCB,execution_offset_strong,3,success,57,1.0,0.0,0.38
HardL3,PickClutterYCB,execution_offset_strong,3,target_error_too_large,93,0.0,0.0,0.62
HardL3,PickClutterYCB,nearby_distractor,3,success,150,1.0,0.0,1.0
HardL3,PickClutterYCB,partial_target_occlusion,3,success,150,1.0,0.0,1.0
HardL3,PickClutterYCB,same_color_distractor,3,success,150,1.0,0.0,1.0
HardL3,PickClutterYCB,same_shape_distractor,3,success,150,1.0,0.0,1.0
HardL3,PickCube,depth_sparsity,3,success,150,1.0,0.0,1.0
HardL3,PickCube,execution_offset_strong,3,success,57,1.0,0.0,0.38
HardL3,PickCube,execution_offset_strong,3,target_error_too_large,93,0.0,0.0,0.62
HardL3,PickCube,nearby_distractor,3,success,150,1.0,0.0,1.0
HardL3,PickCube,partial_target_occlusion,3,success,150,1.0,0.0,1.0
HardL3,PickCube,same_color_distractor,3,success,150,1.0,0.0,1.0
HardL3,PickCube,same_shape_distractor,3,success,150,1.0,0.0,1.0
HardL3,PickSingleYCB,depth_sparsity,3,success,150,1.0,0.0,1.0
HardL3,PickSingleYCB,execution_offset_strong,3,success,57,1.0,0.0,0.38
HardL3,PickSingleYCB,execution_offset_strong,3,target_error_too_large,93,0.0,0.0,0.62
HardL3,PickSingleYCB,nearby_distractor,3,success,150,1.0,0.0,1.0
HardL3,PickSingleYCB,partial_target_occlusion,3,success,150,1.0,0.0,1.0
HardL3,PickSingleYCB,same_color_distractor,3,success,150,1.0,0.0,1.0
HardL3,PickSingleYCB,same_shape_distractor,3,success,150,1.0,0.0,1.0
HardL3,StackCube,depth_sparsity,3,success,150,1.0,0.0,1.0
HardL3,StackCube,execution_offset_strong,3,success,57,1.0,0.0,0.38
HardL3,StackCube,execution_offset_strong,3,target_error_too_large,93,0.0,0.0,0.62
HardL3,StackCube,nearby_distractor,3,success,150,1.0,0.0,1.0
HardL3,StackCube,partial_target_occlusion,3,success,150,1.0,0.0,1.0
HardL3,StackCube,same_color_distractor,3,success,150,1.0,0.0,1.0
HardL3,StackCube,same_shape_distractor,3,success,150,1.0,0.0,1.0
Heldout,PickClutterYCB,depth_sparsity,0,success,300,1.0,0.0,1.0
Heldout,PickClutterYCB,depth_sparsity,1,success,300,1.0,0.0,1.0
Heldout,PickClutterYCB,depth_sparsity,2,success,300,1.0,0.0,1.0
Heldout,PickClutterYCB,depth_sparsity,3,success,300,1.0,0.0,1.0
Heldout,PickClutterYCB,execution_offset_strong,0,success,300,1.0,0.0,1.0
Heldout,PickClutterYCB,execution_offset_strong,1,success,300,1.0,0.0,1.0
Heldout,PickClutterYCB,execution_offset_strong,2,success,253,1.0,0.0,0.8433333333333334
Heldout,PickClutterYCB,execution_offset_strong,2,target_error_too_large,47,0.0,0.0,0.15666666666666668
Heldout,PickClutterYCB,execution_offset_strong,3,success,103,1.0,0.0,0.3433333333333333
Heldout,PickClutterYCB,execution_offset_strong,3,target_error_too_large,197,0.0,0.0,0.6566666666666666
Heldout,PickClutterYCB,nearby_distractor,0,success,300,1.0,0.0,1.0
Heldout,PickClutterYCB,nearby_distractor,1,success,300,1.0,0.0,1.0
Heldout,PickClutterYCB,nearby_distractor,2,success,300,1.0,0.0,1.0
Heldout,PickClutterYCB,nearby_distractor,3,success,300,1.0,0.0,1.0
Heldout,PickClutterYCB,none,0,success,300,1.0,0.0,1.0
Heldout,PickClutterYCB,none,1,success,300,1.0,0.0,1.0
Heldout,PickClutterYCB,none,2,success,300,1.0,0.0,1.0
Heldout,PickClutterYCB,none,3,success,300,1.0,0.0,1.0
Heldout,PickClutterYCB,partial_target_occlusion,0,success,300,1.0,0.0,1.0
Heldout,PickClutterYCB,partial_target_occlusion,1,success,300,1.0,0.0,1.0
Heldout,PickClutterYCB,partial_target_occlusion,2,success,300,1.0,0.0,1.0
Heldout,PickClutterYCB,partial_target_occlusion,3,success,300,1.0,0.0,1.0
Heldout,PickClutterYCB,same_color_distractor,0,success,300,1.0,0.0,1.0
Heldout,PickClutterYCB,same_color_distractor,1,success,300,1.0,0.0,1.0
Heldout,PickClutterYCB,same_color_distractor,2,success,300,1.0,0.0,1.0
Heldout,PickClutterYCB,same_color_distractor,3,success,300,1.0,0.0,1.0
Heldout,PickClutterYCB,same_shape_distractor,0,success,300,1.0,0.0,1.0
Heldout,PickClutterYCB,same_shape_distractor,1,success,300,1.0,0.0,1.0
Heldout,PickClutterYCB,same_shape_distractor,2,success,300,1.0,0.0,1.0
Heldout,PickClutterYCB,same_shape_distractor,3,success,300,1.0,0.0,1.0
Heldout,PickCube,depth_sparsity,0,success,300,1.0,0.0,1.0
Heldout,PickCube,depth_sparsity,1,success,300,1.0,0.0,1.0
Heldout,PickCube,depth_sparsity,2,success,300,1.0,0.0,1.0
Heldout,PickCube,depth_sparsity,3,success,300,1.0,0.0,1.0
Heldout,PickCube,execution_offset_strong,0,success,300,1.0,0.0,1.0
Heldout,PickCube,execution_offset_strong,1,success,300,1.0,0.0,1.0
Heldout,PickCube,execution_offset_strong,2,success,253,1.0,0.0,0.8433333333333334
Heldout,PickCube,execution_offset_strong,2,target_error_too_large,47,0.0,0.0,0.15666666666666668
Heldout,PickCube,execution_offset_strong,3,success,103,1.0,0.0,0.3433333333333333
Heldout,PickCube,execution_offset_strong,3,target_error_too_large,197,0.0,0.0,0.6566666666666666
Heldout,PickCube,nearby_distractor,0,success,300,1.0,0.0,1.0
Heldout,PickCube,nearby_distractor,1,success,300,1.0,0.0,1.0
Heldout,PickCube,nearby_distractor,2,success,300,1.0,0.0,1.0
Heldout,PickCube,nearby_distractor,3,success,300,1.0,0.0,1.0
Heldout,PickCube,none,0,success,300,1.0,0.0,1.0
Heldout,PickCube,none,1,success,300,1.0,0.0,1.0
Heldout,PickCube,none,2,success,300,1.0,0.0,1.0
Heldout,PickCube,none,3,success,300,1.0,0.0,1.0
Heldout,PickCube,partial_target_occlusion,0,success,300,1.0,0.0,1.0
Heldout,PickCube,partial_target_occlusion,1,success,300,1.0,0.0,1.0
Heldout,PickCube,partial_target_occlusion,2,success,300,1.0,0.0,1.0
Heldout,PickCube,partial_target_occlusion,3,success,300,1.0,0.0,1.0
Heldout,PickCube,same_color_distractor,0,success,300,1.0,0.0,1.0
Heldout,PickCube,same_color_distractor,1,success,300,1.0,0.0,1.0
Heldout,PickCube,same_color_distractor,2,success,300,1.0,0.0,1.0
Heldout,PickCube,same_color_distractor,3,success,300,1.0,0.0,1.0
Heldout,PickCube,same_shape_distractor,0,success,300,1.0,0.0,1.0
Heldout,PickCube,same_shape_distractor,1,success,300,1.0,0.0,1.0
Heldout,PickCube,same_shape_distractor,2,success,300,1.0,0.0,1.0
Heldout,PickCube,same_shape_distractor,3,success,300,1.0,0.0,1.0
Heldout,PickSingleYCB,depth_sparsity,0,success,300,1.0,0.0,1.0
Heldout,PickSingleYCB,depth_sparsity,1,success,300,1.0,0.0,1.0
