query_variant,query_template,task,detector,target_source,episodes,success_rate,mean_target_error_l2,no_detection_rate,runner_exception_rate,wrong_detection_rate,iou_mean,iou_hit_010,iou_hit_025,iou_hit_050,iou_hit_075
category,{target_category},PickClutterYCB,GroundingDINO,crop_median_depth,120,0.008333333333333333,0.31030086835069604,0.0,0.0,0.9916666666666667,0.023280007087786384,0.0,0.0,0.0,0.0
category,{target_category},PickClutterYCB,GroundingDINO,crop_trimmed_median_depth,120,0.008333333333333333,0.31030086835069604,0.0,0.0,0.9916666666666667,0.023280007087786384,0.0,0.0,0.0,0.0
category,{target_category},PickClutterYCB,metadata query-aware,crop_median_depth,120,0.48333333333333334,0.1086589735487853,0.0,0.0,0.3333333333333333,,0.0,0.0,0.0,0.0
category,{target_category},PickClutterYCB,metadata query-aware,crop_trimmed_median_depth,120,0.48333333333333334,0.1086589735487853,0.0,0.0,0.3333333333333333,,0.0,0.0,0.0,0.0
category,{target_category},PickSingleYCB,GroundingDINO,crop_median_depth,120,0.05,0.3962698771438492,0.0,0.0,0.9333333333333333,0.03988225260052207,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0
category,{target_category},PickSingleYCB,GroundingDINO,crop_trimmed_median_depth,120,0.05,0.3962698771438492,0.0,0.0,0.9333333333333333,0.03988225260052207,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0
category,{target_category},PickSingleYCB,metadata query-aware,crop_median_depth,120,0.625,0.10756711178765954,0.0,0.0,0.2833333333333333,,0.0,0.0,0.0,0.0
category,{target_category},PickSingleYCB,metadata query-aware,crop_trimmed_median_depth,120,0.625,0.10756711178765954,0.0,0.0,0.2833333333333333,,0.0,0.0,0.0,0.0
generic,target object,PickClutterYCB,GroundingDINO,crop_median_depth,120,0.0,0.2956315940955305,0.0,0.0,0.9833333333333333,0.02279933908760057,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.0
generic,target object,PickClutterYCB,GroundingDINO,crop_trimmed_median_depth,120,0.0,0.2956315940955305,0.0,0.0,0.9833333333333333,0.02279933908760057,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.0
generic,target object,PickClutterYCB,metadata query-aware,crop_median_depth,120,0.65,0.0722701038080457,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
generic,target object,PickClutterYCB,metadata query-aware,crop_trimmed_median_depth,120,0.65,0.0722701038080457,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
generic,target object,PickSingleYCB,GroundingDINO,crop_median_depth,120,0.05,0.3962566362163092,0.0,0.0,0.9333333333333333,0.039924544306888965,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0
generic,target object,PickSingleYCB,GroundingDINO,crop_trimmed_median_depth,120,0.05,0.3962566362163092,0.0,0.0,0.9333333333333333,0.039924544306888965,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0
generic,target object,PickSingleYCB,metadata query-aware,crop_median_depth,120,0.8416666666666667,0.06304460912726705,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
generic,target object,PickSingleYCB,metadata query-aware,crop_trimmed_median_depth,120,0.8416666666666667,0.06304460912726705,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
label_phrase,the {target_label},PickClutterYCB,GroundingDINO,crop_median_depth,120,0.0,0.3060590570561722,0.0,0.0,0.9583333333333334,0.037334371604448656,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.0
