task,seed,target_label,target_category,target_label_source,target_label_is_generic,target_category_is_generic,non_generic_debug_count,non_generic_debug,target_name_debug_json
PickSingleYCB,0,target object,object,fallback,True,True,1,{'actor.name': 'ycb_object'},"{""actor.name"": ""ycb_object""}"
PickSingleYCB,1,target object,object,fallback,True,True,1,{'actor.name': 'ycb_object'},"{""actor.name"": ""ycb_object""}"
PickSingleYCB,2,target object,object,fallback,True,True,1,{'actor.name': 'ycb_object'},"{""actor.name"": ""ycb_object""}"
PickSingleYCB,3,target object,object,fallback,True,True,1,{'actor.name': 'ycb_object'},"{""actor.name"": ""ycb_object""}"
PickSingleYCB,4,target object,object,fallback,True,True,1,{'actor.name': 'ycb_object'},"{""actor.name"": ""ycb_object""}"
PickSingleYCB,5,target object,object,fallback,True,True,1,{'actor.name': 'ycb_object'},"{""actor.name"": ""ycb_object""}"
PickSingleYCB,6,target object,object,fallback,True,True,1,{'actor.name': 'ycb_object'},"{""actor.name"": ""ycb_object""}"
PickSingleYCB,7,target object,object,fallback,True,True,1,{'actor.name': 'ycb_object'},"{""actor.name"": ""ycb_object""}"
PickSingleYCB,8,target object,object,fallback,True,True,1,{'actor.name': 'ycb_object'},"{""actor.name"": ""ycb_object""}"
PickSingleYCB,9,target object,object,fallback,True,True,1,{'actor.name': 'ycb_object'},"{""actor.name"": ""ycb_object""}"
PickClutterYCB,0,target object,object,fallback,True,True,1,{'actor.name': 'target_object'},"{""actor.name"": ""target_object""}"
PickClutterYCB,1,target object,object,fallback,True,True,1,{'actor.name': 'target_object'},"{""actor.name"": ""target_object""}"
PickClutterYCB,2,target object,object,fallback,True,True,1,{'actor.name': 'target_object'},"{""actor.name"": ""target_object""}"
PickClutterYCB,3,target object,object,fallback,True,True,1,{'actor.name': 'target_object'},"{""actor.name"": ""target_object""}"
PickClutterYCB,4,target object,object,fallback,True,True,1,{'actor.name': 'target_object'},"{""actor.name"": ""target_object""}"
PickClutterYCB,5,target object,object,fallback,True,True,1,{'actor.name': 'target_object'},"{""actor.name"": ""target_object""}"
PickClutterYCB,6,target object,object,fallback,True,True,1,{'actor.name': 'target_object'},"{""actor.name"": ""target_object""}"
PickClutterYCB,7,target object,object,fallback,True,True,1,{'actor.name': 'target_object'},"{""actor.name"": ""target_object""}"
PickClutterYCB,8,target object,object,fallback,True,True,1,{'actor.name': 'target_object'},"{""actor.name"": ""target_object""}"
PickClutterYCB,9,target object,object,fallback,True,True,1,{'actor.name': 'target_object'},"{""actor.name"": ""target_object""}"
